No.,stimulus,label,true_value,unit
1,harp,Wie viele Saiten hat eine Konzertharfe? ,47,Saiten
2,fly,Wie groß ist die größte Fliege der Welt (in mm)? ,70,mm
3,dolphin,"Was ist die Höchstgeschwindigkeit, die Delfine erreichen können (in km/h)?",55,km/h
4,blue_whale,Wie viel Krill frisst ein ausgewachsener Blauwal durchschnittlich pro Tag (in Tonnen)?,16,t
5,Iphone_5,Wie viel kostete das iPhone5 32GB bei seiner Einführung in Deutschland 2012 (in Euro)? ,789,€
6,mount_everest,Wie viele Menschen haben 2019 den Gipfel des Mount Everest bestiegen?,878,Menschen
7,bic_mac,Wie viele Kalorien hat ein Big Mac (in kcal)? ,495,kcal
8,sprite,Wie viel Kalorien haben 250 ml Sprite (in kcal)? ,94,kcal
9,turtle,Wie schnell ist die schnellste Wasserschildkröte (km/h)? ,35,km/h
10,peanut_butter,Wie viele Erdnüsse braucht man für ein Glas Erdnussbutter? ,600,Erdnüsse
11,german_potato,Wie viele Kg Kartoffeln isst eine erwachsene Person in Deutschland durchschnittlich pro Jahr? ,60,kg
12,german_wine,Wie viele Liter Wein trinkt eine erwachsene Person in Deutschland durchschnittlich pro Jahr?,20,L
13,piano,Wie viele Tasten hat ein Klavier?,88,Tasten
14,titanic_film,Wie viele Oscars erhielt der Film  “Titanic”? ,11,Oscars
15,queen_elisabeth,Wie alt war Queen Elisabeth II bei ihrer Krönung? ,27,Jahre
16,hand_bones,Aus wie vielen einzelnen Knochen besteht die menschliche Hand? ,27,Knochen
17,harry_potter,Wie viele Buchseiten hat die gesamte deutsche Version der Harry Potter Reihe?,4192,Seiten
18,loch_ness,Wie tief ist Loch Ness (in m)?,230,m
19,lufthansa,Wie lange dauert der längste Flug den Lufthansa planmäßig anbietet (in Stunden)?,14,h
20,dunk_height,Wie hoch hängt der Ring eines Basketballkorbs (in cm)? ,305,cm
